question,query
Who won the game where the Challenge Leader is ACC (2-1)?,SELECT winner WHERE challenge leader EQL acc (2-1)
Who won the game where the Challenge Leader is ACC (2-1)?,SELECT winner WHERE challenge leader EQL acc (2-1)
What station aired a game at 9:00pm?,SELECT television WHERE time EQL 9:00pm
Name the location for illinois,SELECT location WHERE big ten team EQL illinois
where is it in illinois?,SELECT location WHERE big ten team EQL illinois
tell me the address of illinois,SELECT location WHERE big ten team EQL illinois
tell me the location of illinois,SELECT location WHERE big ten team EQL illinois
Who was the winner when the total attendance was 16597?,SELECT winner WHERE attendance EQL 16597
who won the total attendance of 16597?,SELECT winner WHERE attendance EQL 16597
who did win when total attendance was 16597?,SELECT winner WHERE attendance EQL 16597
who won when the total attendance was 16597?,SELECT winner WHERE attendance EQL 16597
who was the winner when the attendance was 16597?,SELECT winner WHERE attendance EQL 16597
who was the winner when the total attendance was 16597?,SELECT winner WHERE attendance EQL 16597
Which MLS Team's pick number was 31?,SELECT mls team WHERE pick # EQL 31
tell me the 31st pick  of an mls team?,SELECT mls team WHERE pick # EQL 31
what mls team was given the 31st pick number?,SELECT mls team WHERE pick # EQL 31
which mls team has the 31 pick number?,SELECT mls team WHERE pick # EQL 31
which mls team's pick number was 31?,SELECT mls team WHERE pick # EQL 31
Where are there 25 episodes in Catfights and Brawls?,SELECT region 2 WHERE number of episodes EQL 25 AND dvd title EQL catfights and brawls
can you list the 25 episodes of catfights and brawls?,SELECT region 2 WHERE number of episodes EQL 25 AND dvd title EQL catfights and brawls
where are the 25 episodes of catfights and brawls?,SELECT region 2 WHERE number of episodes EQL 25 AND dvd title EQL catfights and brawls
Which year's crew is varsity 8+ when the record is 7-3?,SELECT year WHERE crew EQL varsity 8+ AND record EQL 7-3
which year's team is varsity 8 when the record is 7-3?,SELECT year WHERE crew EQL varsity 8+ AND record EQL 7-3
which year's crew is varsity 8 when the record is 7-3?,SELECT year WHERE crew EQL varsity 8+ AND record EQL 7-3
What location and how many people were in attendance where the record was 9-4 for the season?,SELECT location attendance WHERE record EQL 9-4
where was the record 9-4 season?,SELECT location attendance WHERE record EQL 9-4
How scored the most points where the record is 3-0 for the season?,SELECT high points WHERE record EQL 3-0
who has the most points in a season and holds the record of 3-0?,SELECT high points WHERE record EQL 3-0
how many points did you score for the most points in a season that was 3-0?,SELECT high points WHERE record EQL 3-0
how many points have you scored in a season where the record stands at 3-0?,SELECT high points WHERE record EQL 3-0
what is the most points scored in the season where the record is 3-0?,SELECT high points WHERE record EQL 3-0
how did you score the most points for a game where the record is 3-0?,SELECT high points WHERE record EQL 3-0
what's the most points scored when the record is 3-0 for the season?,SELECT high points WHERE record EQL 3-0
Who tied for highest rebounds in game 29?,SELECT high rebounds WHERE game EQL 29
who's tied for the most rebounds in game 29?,SELECT high rebounds WHERE game EQL 29
who tied for the most rebounds in game 29?,SELECT high rebounds WHERE game EQL 29
who tied for highest rebounds in a game?,SELECT high rebounds WHERE game EQL 29
who tied for the highest rebounds in game 29?,SELECT high rebounds WHERE game EQL 29
who tied for highest rebounds in game 29?,SELECT high rebounds WHERE game EQL 29
What was the date of the game when the record was 27-14?,SELECT date WHERE record EQL 27-14
what was the game date when the record was 27-14?,SELECT date WHERE record EQL 27-14
what were the dates of the game when the record was 27-14?,SELECT date WHERE record EQL 27-14
what was the date of the game when the record was 27-14?,SELECT date WHERE record EQL 27-14
Who had the most points in the game where the score was w 97–92 (ot)?,SELECT high points WHERE score EQL w 97–92 (ot)
who scored the most points in the game with a score of 9792?,SELECT high points WHERE score EQL w 97–92 (ot)
What was the record when the timberwolves were played?,SELECT record WHERE team EQL timberwolves
What was the record when the timberwolves were played?,SELECT record WHERE team EQL timberwolves
Name the record for  l 106–116 (ot),SELECT record WHERE score EQL l 106–116 (ot)
Name the record for  l 106–116 (ot),SELECT record WHERE score EQL l 106–116 (ot)
"Name the high points for the staples center 18,997","SELECT high points WHERE location attendance EQL staples center 18,997"
tell me the high point for staples center 18997,"SELECT high points WHERE location attendance EQL staples center 18,997"
Name the average for assists per game,SELECT average WHERE category EQL assists per game
how many assists has a player averaged per game?,SELECT average WHERE category EQL assists per game
what would be the average percentage of assists per game?,SELECT average WHERE category EQL assists per game
please describe the average assist per game,SELECT average WHERE category EQL assists per game
Name the average for 23 games played,SELECT average WHERE games played EQL 23
give me the average number of games played,SELECT average WHERE games played EQL 23
Name the category for 50 totals,SELECT category WHERE totals EQL 50
Name the category for 50 totals,SELECT category WHERE totals EQL 50
Voivodeship or city of nowogródzkie has what capital?,SELECT capital WHERE voivodeship or city EQL nowogródzkie
Voivodeship or city of nowogródzkie has what capital?,SELECT capital WHERE voivodeship or city EQL nowogródzkie
Capital of brześć nad bugiem has what area (1930) in 1000skm?,"SELECT area (1930) in 1,000skm 2 WHERE capital EQL brześć nad bugiem"
Capital of brześć nad bugiem has what area (1930) in 1000skm?,"SELECT area (1930) in 1,000skm 2 WHERE capital EQL brześć nad bugiem"
"Area (1930) in 1,000skm 2 of 31.7 has what capital?","SELECT capital WHERE area (1930) in 1,000skm 2 EQL 31.7"
"Area (1930) in 1,000skm 2 of 31.7 has what capital?","SELECT capital WHERE area (1930) in 1,000skm 2 EQL 31.7"
